gene_species_ID,LD1,LD2,LD3,Pc15,Pc24,Pc28,PR,tiplabel,species,clade,TSD,SSD,CSD,GSD,DAPC_group
hif1a_Lepisosteus_oculatus_2513_7742,-5.864561125,0.067383653,3.465876957,10.33472395,10.83055209,11.05092015,3.773073311,hif1a_Lepisosteus_oculatus_2513_7742,Lepisosteus_oculatus,basal,c,NA,NA,NA,1
hif1aa_Anguilla_anguilla_9087,-5.36206332,3.23092572,5.34611842,4.881191938,5.951119194,6.426642419,2.604505838,hif1aa_Anguilla_anguilla_9087,Anguilla_anguilla,eel,a,NA,NA,NA,1
hif1aa_Clupea_harengus_1315,-4.888060285,2.413699849,4.771743236,3.430714226,3.917999832,4.134571212,-2.424095309,hif1aa_Clupea_harengus_1315,Clupea_harengus,Otocephala,a,NA,NA,NA,1
hif1aa_Colossoma_macropomum_1026,-5.740402333,2.350805141,5.445078692,2.685889286,4.314355715,5.038118572,-1.092274226,hif1aa_Colossoma_macropomum_1026,Colossoma_macropomum,Otocephala,a,NA,NA,NA,1
hif1aa_Danio_rerio_7150,-3.88896313,8.079315639,-3.989281686,3.98690362,2.70193557,2.537919329,-4.453153161,hif1aa_Danio_rerio_7150,Danio_rerio,Otocephala,a,NA,NA,NA,2
hif1aa_Ctenopharyngodon_idella_5290,-1.678534736,8.651018027,-5.140957662,2.652578995,2.855162505,2.945199621,-2.054115266,hif1aa_Ctenopharyngodon_idella_5290,Ctenopharyngodon_idella,Otocephala,a,NA,NA,NA,2
hif1aa_Cyprinus_carpio_2424,-4.456737213,5.759141951,-5.156469882,1.97609688,3.198353938,3.741579297,-2.071247973,hif1aa_Cyprinus_carpio_2424,Cyprinus_carpio,Otocephala,a,NA,1,NA,2
hif1aal_Carassius_auratus_8324,-1.561885808,3.890036278,-3.067949124,2.248010209,3.310401467,3.770630877,-2.747682144,hif1aal_Carassius_auratus_8324,Carassius_auratus,Otocephala,a,NA,1,1,2
hif1aal_Carassius_auratus_2317,-4.083917631,9.812102218,-7.003823212,2.248010209,3.310401467,3.770630877,-2.747682144,hif1aal_Carassius_auratus_2317,Carassius_auratus,Otocephala,a,NA,1,2,2
hif1aal_Cyprinus_carpio_8386,-2.392602428,7.579132026,-6.125371483,1.97609688,3.198353938,3.741579297,-2.071247973,hif1aal_Cyprinus_carpio_8386,Cyprinus_carpio,Otocephala,a,NA,2,NA,2
hif1aal_Carassius_auratus_6095,-3.148158218,7.693252858,-5.284687359,2.248010209,3.310401467,3.770630877,-2.747682144,hif1aal_Carassius_auratus_6095,Carassius_auratus,Otocephala,a,NA,2,1,2
hif1aal_Carassius_auratus_4817,-3.566879545,6.754597064,-5.415866399,2.248010209,3.310401467,3.770630877,-2.747682144,hif1aal_Carassius_auratus_4817,Carassius_auratus,Otocephala,a,NA,2,2,2
hif1aa_Esox_lucius_5558,-4.77047465,2.363225559,3.811808971,0,1.199586922,1.732736665,-2.910180096,hif1aa_Esox_lucius_5558,Esox_lucius,Salmoniformes+sister,a,NA,NA,NA,1
hif1aa_s1_Salmo_salar_8919,-5.875846859,3.725610403,5.930905884,10.44329784,13.42140542,14.57828012,3.648083446,hif1aa_s1_Salmo_salar_8919,Salmo_salar,Salmoniformes+sister,a,1,NA,NA,1
hif1aa_s1_Oncorhynchus_mykiss_5944,-5.36951546,1.635888425,5.179330806,10.93043697,13.30736556,14.42385296,3.073970709,hif1aa_s1_Oncorhynchus_mykiss_5944,Oncorhynchus_mykiss,Salmoniformes+sister,a,1,NA,NA,1
hif1aa_s1_Oncorhynchus_tshawytscha_1708,-5.36951546,1.635888425,5.179330806,5.543222223,7.532888893,8.417185191,0.700415021,hif1aa_s1_Oncorhynchus_tshawytscha_1708,Oncorhynchus_tshawytscha,Salmoniformes+sister,a,1,NA,NA,1
hif1aa_s2_Salmo_salar_0969,-6.785458195,2.151965877,7.467912511,10.44329784,13.42140542,14.57828012,3.648083446,hif1aa_s2_Salmo_salar_0969,Salmo_salar,Salmoniformes+sister,a,2,NA,NA,1
hif1aa_s2_Oncorhynchus_mykiss_5629,-4.8120122,2.859026214,4.926450216,10.93043697,13.30736556,14.42385296,3.073970709,hif1aa_s2_Oncorhynchus_mykiss_5629,Oncorhynchus_mykiss,Salmoniformes+sister,a,2,NA,NA,1
hif1aa_s2_Oncorhynchus_tshawytscha_6768,-4.785299864,2.952243192,4.962797692,5.543222223,7.532888893,8.417185191,0.700415021,hif1aa_s2_Oncorhynchus_tshawytscha_6768,Oncorhynchus_tshawytscha,Salmoniformes+sister,a,2,NA,NA,1
hif1aa_Gadus_morhua_3958,9.603983013,-0.872804314,0.168128486,5.225637508,5.883785021,6.176295027,-0.352261615,hif1aa_Gadus_morhua_3958,Gadus_morhua,Neoteleostei,a,NA,NA,NA,3
hif1aa_Thunnus_maccoyii_1349,10.95788629,-0.636026823,0.322000942,4.9655002,6.41562475,7.06012455,-1.594566654,hif1aa_Thunnus_maccoyii_1349,Thunnus_maccoyii,Neoteleostei,a,NA,NA,NA,3
hif1aa_Morone_saxatilis_7121,11.47261895,-1.017102791,0.86979854,5.488560809,6.586864864,7.075,0.60924705,hif1aa_Morone_saxatilis_7121,Morone_saxatilis,Neoteleostei,a,NA,NA,NA,3
hif1aa_Micropterus_salmoides_0761,11.79292669,-1.061091377,0.156193243,5.005044478,5.128017791,5.182672597,0.378512922,hif1aa_Micropterus_salmoides_0761,Micropterus_salmoides,Neoteleostei,a,NA,NA,NA,3
hif1aa_Perca_fluviatilis_9074,8.856413788,-0.330861031,1.903867676,3.552720127,4.627823898,5.105647797,0.029608935,hif1aa_Perca_fluviatilis_9074,Perca_fluviatilis,Neoteleostei,a,NA,NA,NA,3
hif1aa_Gasterosteus_aculeatus_4896,10.83531816,-1.263828205,0.181091016,9.54,8.355134075,7.828526998,3.181474082,hif1aa_Gasterosteus_aculeatus_4896,Gasterosteus_aculeatus,Neoteleostei,a,NA,NA,NA,3
hif1aa_Cyclopterus_lumpus_1277,9.542214247,-0.296291543,0.274236062,7.728455506,6.997912262,6.673226376,0.820253593,hif1aa_Cyclopterus_lumpus_1277,Cyclopterus_lumpus,Neoteleostei,a,NA,NA,NA,3
hif1aa_Betta_splendens_8167,7.985077934,-2.052934375,-0.690064997,8.312073421,6.0843299,5.171890033,3.391224346,hif1aa_Betta_splendens_8167,Betta_splendens,Neoteleostei,a,NA,NA,NA,3
hif1aa_Lates_calcarifer_2479,11.19606709,-1.289299517,-1.747121321,3.423216967,3.633557293,3.742630955,-0.235871142,hif1aa_Lates_calcarifer_2479,Lates_calcarifer,Neoteleostei,a,NA,NA,NA,3
hif1aa_Scophthalmus_maximus_6010,8.561589315,-1.487966544,1.574043312,3.768981407,4.763565074,5.205602259,-0.566176202,hif1aa_Scophthalmus_maximus_6010,Scophthalmus_maximus,Neoteleostei,a,NA,NA,NA,3
hif1aa_Acanthochromis_polyacanthus_1322,9.196664833,-1.929703101,-0.159255907,7.186402893,6.318678639,5.92,-1.724802973,hif1aa_Acanthochromis_polyacanthus_1322,Acanthochromis_polyacanthus,Neoteleostei,a,NA,NA,NA,3
hif1aa_Oreochromis_niloticus_3737,10.00781622,-1.325688169,-0.201395441,2.490514095,2.651001165,2.980999771,-1.618731138,hif1aa_Oreochromis_niloticus_3737,Oreochromis_niloticus,Neoteleostei,a,NA,NA,NA,3
hif1aa_Poecilia_latipinna_9010_3702,9.896188449,-1.956611584,-0.463001929,2.878296563,2.816829656,2.789511031,-2.000942123,hif1aa_Poecilia_latipinna_9010_3702,Poecilia_latipinna,Neoteleostei,a,NA,NA,NA,3
