gene_species_ID,LD1,LD2,LD3,Pc15,Pc24,Pc28,PR,tiplabel,species,clade,TSD,SSD,CSD,GSD,DAPC_group
egln1a_Lepisosteus_oculatus_6669,6.300690596,0.707721788,-0.814807879,10.33472395,10.83055209,11.05092015,3.773073311,egln1a_Lepisosteus_oculatus_6669,Lepisosteus_oculatus,basal,c,NA,NA,NA,4
egln1a_Anguilla_anguilla_7600,0.019313973,-6.613033242,-0.305968325,4.881191938,5.951119194,6.426642419,2.604505838,egln1a_Anguilla_anguilla_7600,Anguilla_anguilla,eel,a,NA,NA,NA,3
egln1a_Clupea_harengus_0941,-0.35686754,2.190247215,-3.474868759,3.430714226,3.917999832,4.134571212,-2.424095309,egln1a_Clupea_harengus_0941,Clupea_harengus,Otocephala,a,NA,NA,NA,1
egln1a_Colossoma_macropomum_0076,-0.347503977,-6.392420468,-0.011998411,2.685889286,4.314355715,5.038118572,-1.092274226,egln1a_Colossoma_macropomum_0076,Colossoma_macropomum,Otocephala,a,NA,NA,NA,3
egln1a_Danio_rerio_9385,-1.56613197,1.282584372,-1.499874438,3.98690362,2.70193557,2.537919329,-4.453153161,egln1a_Danio_rerio_9385,Danio_rerio,Otocephala,a,NA,NA,NA,2
egln1al_Ctenopharyngodon_idella_4812,-3.010771853,1.363152393,-1.561441359,2.652578995,2.855162505,2.945199621,-2.054115266,egln1al_Ctenopharyngodon_idella_4812,Ctenopharyngodon_idella,Otocephala,a,NA,NA,NA,2
egln1a_Cyprinus_carpio_9512,-2.496001029,1.310661069,-1.744202148,1.97609688,3.198353938,3.741579297,-2.071247973,egln1a_Cyprinus_carpio_9512,Cyprinus_carpio,Otocephala,a,NA,1,NA,2
egln1a_Carassius_auratus_6581,-4.044969459,2.313643179,-1.912060518,2.248010209,3.310401467,3.770630877,-2.747682144,egln1a_Carassius_auratus_6581,Carassius_auratus,Otocephala,a,NA,1,NA,2
egln1al_Cyprinus_carpio_5546,-3.092904182,1.361851896,-1.717488876,1.97609688,3.198353938,3.741579297,-2.071247973,egln1al_Cyprinus_carpio_5546,Cyprinus_carpio,Otocephala,a,NA,2,NA,1
egln1al_Carassius_auratus_2350,-2.496001029,1.310661069,-1.744202148,2.248010209,3.310401467,3.770630877,-2.747682144,egln1al_Carassius_auratus_2350,Carassius_auratus,Otocephala,a,NA,2,NA,2
egln1a_Esox_lucius_6344,-0.342219757,-7.398822889,-0.255236481,0,1.199586922,1.732736665,-2.910180096,egln1a_Esox_lucius_6344,Esox_lucius,Salmoniformes+sister,a,NA,NA,NA,3
egln1a_Salmo_salar_8747,-2.346953565,0.704561939,0.610043674,10.44329784,13.42140542,14.57828012,3.648083446,egln1a_Salmo_salar_8747,Salmo_salar,Salmoniformes+sister,a,1,NA,NA,2
egln1a_Oncorhynchus_mykiss_1214,-1.736207373,1.541022241,0.826321244,10.93043697,13.30736556,14.42385296,3.073970709,egln1a_Oncorhynchus_mykiss_1214,Oncorhynchus_mykiss,Salmoniformes+sister,a,1,NA,NA,2
egln1al_Oncorhynchus_tshawytscha_2094,-1.736207373,1.541022241,0.826321244,5.543222223,7.532888893,8.417185191,0.700415021,egln1al_Oncorhynchus_tshawytscha_2094,Oncorhynchus_tshawytscha,Salmoniformes+sister,a,1,NA,NA,2
egln1a_Gadus_morhua_9472,-1.942550552,2.346936809,-0.913750307,5.225637508,5.883785021,6.176295027,-0.352261615,egln1a_Gadus_morhua_9472,Gadus_morhua,Neoteleostei,a,NA,NA,NA,2
egln1a_Morone_saxatilis_9161,-2.399966302,0.084400131,0.341202016,5.488560809,6.586864864,7.075,0.60924705,egln1a_Morone_saxatilis_9161,Morone_saxatilis,Neoteleostei,a,NA,NA,NA,2
egln1a_Betta_splendens_0422,-3.161015986,1.348666808,0.719110652,8.312073421,6.0843299,5.171890033,3.391224346,egln1a_Betta_splendens_0422,Betta_splendens,Neoteleostei,a,NA,NA,NA,2
egln1a_Scophthalmus_maximus_3363,-2.68723435,0.323960062,1.598878681,3.768981407,4.763565074,5.205602259,-0.566176202,egln1a_Scophthalmus_maximus_3363,Scophthalmus_maximus,Neoteleostei,a,NA,NA,NA,2
egln1a_Lates_calcarifer_5792,-3.671500308,2.331298361,1.029907945,3.423216967,3.633557293,3.742630955,-0.235871142,egln1a_Lates_calcarifer_5792,Lates_calcarifer,Neoteleostei,a,NA,NA,NA,2
egln1a_Thunnus_maccoyii_1342,-2.153828392,1.119749671,0.682651752,4.9655002,6.41562475,7.06012455,-1.594566654,egln1a_Thunnus_maccoyii_1342,Thunnus_maccoyii,Neoteleostei,a,NA,NA,NA,2
egln1a_Micropterus_salmoides_7249,-2.03586319,-1.092178034,-0.198814645,5.005044478,5.128017791,5.182672597,0.378512922,egln1a_Micropterus_salmoides_7249,Micropterus_salmoides,Neoteleostei,a,NA,NA,NA,2
egln1a_Perca_fluviatilis_7839,-3.551519105,2.213347469,0.994929077,3.552720127,4.627823898,5.105647797,0.029608935,egln1a_Perca_fluviatilis_7839,Perca_fluviatilis,Neoteleostei,a,NA,NA,NA,2
egln1a_Gasterosteus_aculeatus_1121,-3.28581858,2.084883298,1.016155764,9.54,8.355134075,7.828526998,3.181474082,egln1a_Gasterosteus_aculeatus_1121,Gasterosteus_aculeatus,Neoteleostei,a,NA,NA,NA,2
egln1a_Cyclopterus_lumpus_3686,-2.672601723,1.402820714,1.543819306,7.728455506,6.997912262,6.673226376,0.820253593,egln1a_Cyclopterus_lumpus_3686,Cyclopterus_lumpus,Neoteleostei,a,NA,NA,NA,2
