gene_species_ID,LD1,LD2,Pc15,Pc24,Pc28,PR,tiplabel,species,clade,TSD,SSD,CSD,GSD,DAPC_group
egln2_Lepisosteus_oculatus_0383,-1.544597054,0.521426556,10.33472395,10.83055209,11.05092015,3.773073311,egln2_Lepisosteus_oculatus_0383,Lepisosteus_oculatus,basal,c,NA,NA,NA,1
egln2_Anguilla_anguilla_9826,-2.112150302,0.978859683,4.881191938,5.951119194,6.426642419,2.604505838,egln2_Anguilla_anguilla_9826,Anguilla_anguilla,eel,a,NA,NA,NA,1
egln2_Clupea_harengus_1526,4.179825183,4.708324453,3.430714226,3.917999832,4.134571212,-2.424095309,egln2_Clupea_harengus_1526,Clupea_harengus,Otocephala,a,NA,NA,NA,3
egln2_Colossoma_macropomum_3212,4.335380388,4.564964963,2.685889286,4.314355715,5.038118572,-1.092274226,egln2_Colossoma_macropomum_3212,Colossoma_macropomum,Otocephala,a,NA,NA,NA,3
egln2l_Ctenopharyngodon_idella_5312,3.531273695,5.225477141,2.652578995,2.855162505,2.945199621,-2.054115266,egln2l_Ctenopharyngodon_idella_5312,Ctenopharyngodon_idella,Otocephala,a,NA,NA,NA,3
egln2_Danio_rerio_9569,0.81610569,3.034460337,3.98690362,2.70193557,2.537919329,-4.453153161,egln2_Danio_rerio_9569,Danio_rerio,Otocephala,a,NA,NA,NA,3
egln2l_Cyprinus_carpio_2858,3.134394507,5.06729644,1.97609688,3.198353938,3.741579297,-2.071247973,egln2l_Cyprinus_carpio_2858,Cyprinus_carpio,Otocephala,a,NA,1,NA,3
egln2l_Carassius_auratus_5280,4.712291809,5.992498731,2.248010209,3.310401467,3.770630877,-2.747682144,egln2l_Carassius_auratus_5280,Carassius_auratus,Otocephala,a,NA,1,NA,3
egln2l_Cyprinus_carpio_4525,3.932925952,5.242924764,1.97609688,3.198353938,3.741579297,-2.071247973,egln2l_Cyprinus_carpio_4525,Cyprinus_carpio,Otocephala,a,NA,2,NA,3
egln2l_Carassius_auratus_8594,3.932925952,5.242924764,2.248010209,3.310401467,3.770630877,-2.747682144,egln2l_Carassius_auratus_8594,Carassius_auratus,Otocephala,a,NA,2,NA,3
egln2_Esox_lucius_2182,-2.775613453,-1.96069975,0,1.199586922,1.732736665,-2.910180096,egln2_Esox_lucius_2182,Esox_lucius,Salmoniformes+sister,a,NA,NA,NA,1
egln2_Salmo_salar_6807,-2.644733007,-1.864962792,10.44329784,13.42140542,14.57828012,3.648083446,egln2_Salmo_salar_6807,Salmo_salar,Salmoniformes+sister,a,1,NA,NA,1
egln2_Oncorhynchus_mykiss_3496,-0.846822983,-1.748342171,10.93043697,13.30736556,14.42385296,3.073970709,egln2_Oncorhynchus_mykiss_3496,Oncorhynchus_mykiss,Salmoniformes+sister,a,1,NA,NA,1
egln2l_Oncorhynchus_tshawytscha_6681,27.64384126,-7.7077209,5.543222223,7.532888893,8.417185191,0.700415021,egln2l_Oncorhynchus_tshawytscha_6681,Oncorhynchus_tshawytscha,Salmoniformes+sister,a,1,NA,NA,2
egln2l_Salmo_salar_9256,-1.455387662,-0.062837242,10.44329784,13.42140542,14.57828012,3.648083446,egln2l_Salmo_salar_9256,Salmo_salar,Salmoniformes+sister,a,2,NA,NA,1
egln2_Oncorhynchus_mykiss_7058,-2.644733007,-1.864962792,10.93043697,13.30736556,14.42385296,3.073970709,egln2_Oncorhynchus_mykiss_7058,Oncorhynchus_mykiss,Salmoniformes+sister,a,2,NA,NA,1
egln2l_Oncorhynchus_tshawytscha_5089,-2.644733007,-1.864962792,5.543222223,7.532888893,8.417185191,0.700415021,egln2l_Oncorhynchus_tshawytscha_5089,Oncorhynchus_tshawytscha,Salmoniformes+sister,a,2,NA,NA,1
egln2l_Gadus_morhua_8963,-4.049937277,-0.718380248,5.225637508,5.883785021,6.176295027,-0.352261615,egln2l_Gadus_morhua_8963,Gadus_morhua,Neoteleostei,a,NA,NA,NA,1
egln2_Gasterosteus_aculeatus_0907,0.132381499,-3.148351319,9.54,8.355134075,7.828526998,3.181474082,egln2_Gasterosteus_aculeatus_0907,Gasterosteus_aculeatus,Neoteleostei,a,NA,NA,NA,1
egln2_Cyclopterus_lumpus_1644,-2.775999989,-1.162241686,7.728455506,6.997912262,6.673226376,0.820253593,egln2_Cyclopterus_lumpus_1644,Cyclopterus_lumpus,Neoteleostei,a,NA,NA,NA,1
egln2_Morone_saxatilis_2165,-2.429131375,-2.495982803,5.488560809,6.586864864,7.075,0.60924705,egln2_Morone_saxatilis_2165,Morone_saxatilis,Neoteleostei,a,NA,NA,NA,1
egln2_Micropterus_salmoides_2224,-3.27566589,-0.295461708,5.005044478,5.128017791,5.182672597,0.378512922,egln2_Micropterus_salmoides_2224,Micropterus_salmoides,Neoteleostei,a,NA,NA,NA,1
egln2_Perca_fluviatilis_3539,-1.329627359,-1.689121318,3.552720127,4.627823898,5.105647797,0.029608935,egln2_Perca_fluviatilis_3539,Perca_fluviatilis,Neoteleostei,a,NA,NA,NA,1
egln2_Thunnus_maccoyii_8827,-3.177652247,-1.179689308,4.9655002,6.41562475,7.06012455,-1.594566654,egln2_Thunnus_maccoyii_8827,Thunnus_maccoyii,Neoteleostei,a,NA,NA,NA,1
egln2_Lates_calcarifer_0822,-1.872473269,-1.33051283,3.423216967,3.633557293,3.742630955,-0.235871142,egln2_Lates_calcarifer_0822,Lates_calcarifer,Neoteleostei,a,NA,NA,NA,1
egln2_Betta_splendens_7698,-2.711014246,-1.125173234,8.312073421,6.0843299,5.171890033,3.391224346,egln2_Betta_splendens_7698,Betta_splendens,Neoteleostei,a,NA,NA,NA,1
egln2_Scophthalmus_maximus_9216,-2.68865016,-0.204066608,3.768981407,4.763565074,5.205602259,-0.566176202,egln2_Scophthalmus_maximus_9216,Scophthalmus_maximus,Neoteleostei,a,NA,NA,NA,1
