gene_species_ID,LD1,Pc15,Pc24,Pc28,PR,tiplabel,species,clade,TSD,SSD,CSD,GSD,DAPC_group
egln3_Lepisosteus_oculatus_3659,3.865838303,10.33472395,10.83055209,11.05092015,3.773073311,egln3_Lepisosteus_oculatus_3659,Lepisosteus_oculatus,basal,c,NA,NA,NA,2
egln3_Anguilla_anguilla_4615,2.961168648,4.881191938,5.951119194,6.426642419,2.604505838,egln3_Anguilla_anguilla_4615,Anguilla_anguilla,eel,a,NA,NA,NA,2
egln3_Clupea_harengus_9598,3.89380765,3.430714226,3.917999832,4.134571212,-2.424095309,egln3_Clupea_harengus_9598,Clupea_harengus,Otocephala,a,NA,NA,NA,2
egln3_Colossoma_macropomum_3274,2.930055283,2.685889286,4.314355715,5.038118572,-1.092274226,egln3_Colossoma_macropomum_3274,Colossoma_macropomum,Otocephala,a,NA,NA,NA,2
egln3l_Ctenopharyngodon_idella_8723,-2.522096771,2.652578995,2.855162505,2.945199621,-2.054115266,egln3l_Ctenopharyngodon_idella_8723,Ctenopharyngodon_idella,Otocephala,a,NA,NA,NA,1
egln3_Danio_rerio_6602,-0.528776039,3.98690362,2.70193557,2.537919329,-4.453153161,egln3_Danio_rerio_6602,Danio_rerio,Otocephala,a,NA,NA,NA,2
egln3l_Cyprinus_carpio_8049,-2.329383443,1.97609688,3.198353938,3.741579297,-2.071247973,egln3l_Cyprinus_carpio_8049,Cyprinus_carpio,Otocephala,a,NA,1,NA,1
egln3_Carassius_auratus_7678,3.45558934,2.248010209,3.310401467,3.770630877,-2.747682144,egln3_Carassius_auratus_7678,Carassius_auratus,Otocephala,a,NA,1,NA,2
egln3l_Cyprinus_carpio_8372,3.45558934,1.97609688,3.198353938,3.741579297,-2.071247973,egln3l_Cyprinus_carpio_8372,Cyprinus_carpio,Otocephala,a,NA,2,NA,2
egln3l_Carassius_auratus_0922,3.45558934,2.248010209,3.310401467,3.770630877,-2.747682144,egln3l_Carassius_auratus_0922,Carassius_auratus,Otocephala,a,NA,2,NA,2
egln3_Esox_lucius_3611,-3.025731321,0,1.199586922,1.732736665,-2.910180096,egln3_Esox_lucius_3611,Esox_lucius,Salmoniformes+sister,a,NA,NA,NA,1
egln3_Salmo_salar_1984,-2.900786336,10.44329784,13.42140542,14.57828012,3.648083446,egln3_Salmo_salar_1984,Salmo_salar,Salmoniformes+sister,a,1,NA,NA,1
egln3l_Oncorhynchus_mykiss_7687,-2.2755394,10.93043697,13.30736556,14.42385296,3.073970709,egln3l_Oncorhynchus_mykiss_7687,Oncorhynchus_mykiss,Salmoniformes+sister,a,1,NA,NA,1
egln3l_Oncorhynchus_tshawytscha_1606,-2.2755394,5.543222223,7.532888893,8.417185191,0.700415021,egln3l_Oncorhynchus_tshawytscha_1606,Oncorhynchus_tshawytscha,Salmoniformes+sister,a,1,NA,NA,1
egln3l_Salmo_salar_1226,3.181258004,10.44329784,13.42140542,14.57828012,3.648083446,egln3l_Salmo_salar_1226,Salmo_salar,Salmoniformes+sister,a,2,NA,NA,2
egln3l_Oncorhynchus_mykiss_5778,3.181258004,10.93043697,13.30736556,14.42385296,3.073970709,egln3l_Oncorhynchus_mykiss_5778,Oncorhynchus_mykiss,Salmoniformes+sister,a,2,NA,NA,2
egln3l_Oncorhynchus_tshawytscha_6840,3.181258004,5.543222223,7.532888893,8.417185191,0.700415021,egln3l_Oncorhynchus_tshawytscha_6840,Oncorhynchus_tshawytscha,Salmoniformes+sister,a,2,NA,NA,2
